game_name,game_image_url,release_world,main_story,main_extra,completionist,Platform
Tom Clancy's Splinter Cell,"https://howlongtobeat.com/games/10457_Tom_Clancys_Splinter_Cell.jpg ",2002,12.48,14.82,15.76,
Tom Clancy's Splinter Cell: Blacklist,"https://howlongtobeat.com/games/12651_Tom_Clancys_Splinter_Cell_Blacklist.png ",2013,10.81,17.72,27.98,
Tom Clancy's Splinter Cell: Chaos Theory,"https://howlongtobeat.com/games/10461_Tom_Clancys_Splinter_Cell_Chaos_Theory.jpg ",2005,12.95,14.25,19.17,
TOM CLANCY’S Серия,nan,nan,,,,
True Crime: New York City,"https://howlongtobeat.com/games/True_Crime_-_New_York_City_Coverart.jpg ",2005,6.9,18.4,30.26,PlayStation 2
Tunnel of Doom,"https://howlongtobeat.com/games/110402_Tunnel_of_Doom.jpg ",2021,0,0,0,
Twelve Minutes,"https://howlongtobeat.com/games/68152_Twelve_Minutes.jpg ",2021,4.25,5.68,7.61,
Unheard - Voices of Crime,"https://howlongtobeat.com/games/64684_Unheard.jpg ",2019,4.08,5.67,7.06,
Unholy,"https://howlongtobeat.com/games/88819_Unholy.jpg ",2023,7.03,7.45,0,"PC, PlayStation 5"
Unshaded,"https://howlongtobeat.com/games/103229_Unshaded.jpg ",2021,0,12.8,0,
[Uplink](https://plati.market/itm/uplink-steam-gift-russia-row-global-reg-free/4659940?ai=601828),"https://howlongtobeat.com/games/Uplink_box_art.jpg ",2001,8.52,15.91,27.94,
Winter Ember,"https://howlongtobeat.com/games/89848_Winter_Ember.jpg ",2022,6.08,0,27.5,
Zone of the Enders,"https://howlongtobeat.com/games/11585_Zone_of_the_Enders.png ",2001,4.92,5.37,7.73,PlayStation 2
ГЛЯНУТЬ ЧТО ЗА  Starbreeze Studios ТАКИЕ,,,,,,
[Киберпанк-игры](https://kanobu.ru/games/collections/kiberpank-igry/),,,,,,
КОРСАРСКАЯ ХИМЕРА,nan,nan,,,,
