name	img	year	genres	rating	length	type	
1922	https://kinopoiskapiunofficial.tech/images/posters/kp/1008798.jpg	2017	драма, криминал, триллер, ужасы	6.3	01:42	Фильм			
Игра Джералда	https://kinopoiskapiunofficial.tech/images/posters/kp/874941.jpg	2017	драма, триллер	6.5	01:43	Фильм			
Дюнкерк	https://kinopoiskapiunofficial.tech/images/posters/kp/931677.jpg	2017	военный, драма, история	7.3	01:46	Фильм			
Заклятье: Слуги Сатаны	https://kinopoiskapiunofficial.tech/images/posters/kp/1046559.jpg	2017	ужасы	5.6	01:47	Фильм			
Кризис Юнга	https://kinopoiskapiunofficial.tech/images/posters/kp/1184250.jpg	2018	боевик, мультфильм, приключения, фэнтези	7.3	00:07	Мульт-сериал			
Бар «На грудь»	https://kinopoiskapiunofficial.tech/images/posters/kp/1182694.jpg	2018	комедия	7.4	00:10	Сериал			
Человек-дьявол: Плакса	https://kinopoiskapiunofficial.tech/images/posters/kp/1042560.jpg	2018	аниме, боевик, мультфильм, ужасы, фэнтези	7.4	00:25	Аниме-сериал			
Far Cry 5: У врат Эдема	https://kinopoiskapiunofficial.tech/images/posters/kp/1136073.jpg	2018	детектив, драма, короткометражка, триллер	6.4	00:30	Сериал			
Эпидемия	https://kinopoiskapiunofficial.tech/images/posters/kp/1108682.jpg	2018	драма, триллер, фантастика	7.8	00:48	Сериал			
Доктор Хэрроу (продолжение вечности)	https://kinopoiskapiunofficial.tech/images/posters/kp/1112955.jpg	2018	детектив, драма, криминал, триллер	7.5	01:00	Сериал			
Игрушки для взрослых	https://kinopoiskapiunofficial.tech/images/posters/kp/429363.jpg	2018	боевик, детектив, комедия, криминал, триллер, ужасы, фэнтези	6.1	01:31	Фильм			
Апгрейд	https://kinopoiskapiunofficial.tech/images/posters/kp/1009784.jpg	2018	боевик, детектив, криминал, триллер, фантастика	7.6	01:40	Фильм			
Дитя робота	https://kinopoiskapiunofficial.tech/images/posters/kp/1067645.jpg	2018	детектив, драма, триллер, фантастика	6.7	01:53	Фильм			
Реинкарнация	https://kinopoiskapiunofficial.tech/images/posters/kp/1112132.jpg	2018	детектив, драма, ужасы	6.4	02:07	Фильм			
Апостол	https://kinopoiskapiunofficial.tech/images/posters/kp/1007626.jpg	2018	драма, триллер, ужасы, фэнтези	6.2	02:10	Фильм			
Любовь. Смерть. Роботы	https://kinopoiskapiunofficial.tech/images/posters/kp/1228254.jpg	2019	боевик, комедия, криминал, мультфильм, триллер, ужасы, фантастика, фэнтези	8.3	00:15	Сериал			
Выдающиеся звери	https://kinopoiskapiunofficial.tech/images/posters/kp/1290944.jpg	2019	аниме, драма, мелодрама, мультфильм, фэнтези	7.5	00:22	Аниме-сериал			
